// Labyrinthe d'exemple
#
mmmmmmmmmmmmmmmmm
m d             m
mmmmmmmmmmmm    m
m a             m
mmmmmmmmmmmmmmmmm
#
#
ttttttttttttttttt
t d             t
tttttttttttt    t
t a             t
ttttttttttttttttt
#

// Labyrinthe deux
#
mmmmmootttttt
m   m  t    t      
m d m  t    t      
m   m       t      
m   m       t   m  o
m   m  tttttt   m  o
m               m  o
m               m  o
m           ooooo  o
m      mooooo      o
m      m           o
m      ma          o
m      m           o
mmmmmmmmoooooooooooo
#
